Player,team,Rk,G,Date,Age,Tm,Unnamed: 7,Opp,Unnamed: 9,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Points_Running_Avg,Rebounds_Running_Avg,Assists_Running_Avg,Steals_Running_Avg,Blocks_Running_Avg,Points_Diff,Rebounds_Diff,Assists_Diff,Steals_Diff,Blocks_Diff
Dejounte Murray,ATL,1,1.0,2022-10-19,26-030,ATL,,HOU,W (+10),1,38:14,8.0,19.0,0.421,1.0,5.0,0.2,3.0,3.0,1.0,0.0,5.0,5.0,11.0,5.0,1.0,0.0,0.0,20.0,24.8,8.0,20.0,5.0,11.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
Dejounte Murray,ATL,2,2.0,2022-10-21,26-032,ATL,,ORL,W (+10),1,39:37,8.0,16.0,0.5,2.0,5.0,0.4,2.0,2.0,1.0,1.0,8.0,9.0,9.0,4.0,0.0,7.0,2.0,20.0,17.6,17.0,20.0,7.0,10.0,4.5,0.5,0.0,2.0,-1.0,-0.5,-0.5
Dejounte Murray,ATL,3,3.0,2022-10-23,26-034,ATL,,CHO,L (-17),1,38:48,7.0,15.0,0.467,2.0,4.0,0.5,3.0,3.0,1.0,1.0,7.0,8.0,5.0,1.0,1.0,4.0,2.0,19.0,14.5,-11.0,19.667,7.333,8.333,3.333,0.667,-0.667,0.667,-3.333,-2.333,0.333
Dejounte Murray,ATL,4,4.0,2022-10-26,26-037,ATL,@,DET,W (+5),1,39:19,5.0,18.0,0.278,2.0,6.0,0.333,2.0,4.0,0.5,2.0,6.0,8.0,8.0,2.0,2.0,2.0,2.0,14.0,12.0,4.0,18.25,7.5,8.25,3.0,1.0,-4.25,0.5,-0.25,-1.0,1.0
Dejounte Murray,ATL,5,5.0,2022-10-28,26-039,ATL,@,DET,W (+24),1,32:23,12.0,21.0,0.571,2.0,6.0,0.333,0.0,0.0,,0.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,26.0,20.8,21.0,19.8,6.8,7.6,2.4,0.8,6.2,-2.8,-2.6,-2.4,-0.8
Dejounte Murray,ATL,6,6.0,2022-10-29,26-040,ATL,@,MIL,L (-8),1,34:16,9.0,19.0,0.474,3.0,5.0,0.6,0.0,0.0,,0.0,5.0,5.0,6.0,2.0,0.0,1.0,3.0,21.0,16.8,1.0,20.0,6.5,7.333,2.333,0.667,1.0,-1.5,-1.333,-0.333,-0.667
Dejounte Murray,ATL,7,7.0,2022-10-31,26-042,ATL,@,TOR,L (-30),1,30:31,7.0,15.0,0.467,2.0,4.0,0.5,4.0,4.0,1.0,0.0,4.0,4.0,9.0,0.0,0.0,4.0,3.0,20.0,14.6,-12.0,20.0,6.143,7.571,2.0,0.571,0.0,-2.143,1.429,-2.0,-0.571
Dejounte Murray,ATL,8,8.0,2022-11-02,26-044,ATL,@,NYK,W (+13),1,38:06,14.0,27.0,0.519,5.0,12.0,0.417,3.0,3.0,1.0,0.0,4.0,4.0,9.0,5.0,1.0,3.0,1.0,36.0,32.5,26.0,22.0,5.875,7.75,2.375,0.625,14.0,-1.875,1.25,2.625,0.375
Dejounte Murray,ATL,9,9.0,2022-11-05,26-047,ATL,,NOP,W (+3),1,41:47,9.0,23.0,0.391,1.0,8.0,0.125,3.0,4.0,0.75,2.0,8.0,10.0,11.0,3.0,0.0,2.0,3.0,22.0,20.4,21.0,22.0,6.333,8.111,2.444,0.556,0.0,3.667,2.889,0.556,-0.556
Dejounte Murray,ATL,10,10.0,2022-11-07,26-049,ATL,,MIL,W (+19),1,32:03,11.0,24.0,0.458,3.0,9.0,0.333,0.0,0.0,,2.0,6.0,8.0,11.0,3.0,0.0,3.0,1.0,25.0,23.1,4.0,22.3,6.5,8.4,2.5,0.5,2.7,1.5,2.6,0.5,-0.5
Dejounte Murray,ATL,11,11.0,2022-11-09,26-051,ATL,,UTA,L (-6),1,37:49,11.0,20.0,0.55,1.0,5.0,0.2,3.0,4.0,0.75,1.0,5.0,6.0,5.0,0.0,1.0,3.0,4.0,26.0,17.8,-7.0,22.636,6.455,8.091,2.273,0.545,3.364,-0.455,-3.091,-2.273,0.455
Dejounte Murray,ATL,12,12.0,2022-11-10,26-052,ATL,,PHI,W (+9),1,34:42,5.0,13.0,0.385,0.0,4.0,0.0,0.0,0.0,,0.0,3.0,3.0,8.0,2.0,0.0,2.0,1.0,10.0,9.0,-14.0,21.583,6.167,8.083,2.25,0.5,-11.583,-3.167,-0.083,-0.25,-0.5
Dejounte Murray,ATL,13,13.0,2022-11-12,26-054,ATL,@,PHI,L (-12),1,38:19,9.0,23.0,0.391,1.0,4.0,0.25,4.0,4.0,1.0,3.0,5.0,8.0,7.0,2.0,0.0,0.0,1.0,23.0,20.6,-21.0,21.692,6.308,8.0,2.231,0.462,1.308,1.692,-1.0,-0.231,-0.462
Dejounte Murray,ATL,14,14.0,2022-11-14,26-056,ATL,@,MIL,W (+15),1,36:01,6.0,14.0,0.429,1.0,4.0,0.25,6.0,7.0,0.857,0.0,8.0,8.0,5.0,0.0,0.0,1.0,2.0,19.0,15.3,6.0,21.5,6.429,7.786,2.071,0.429,-2.5,1.571,-2.786,-2.071,-0.429
Dejounte Murray,ATL,15,15.0,2022-11-16,26-058,ATL,,BOS,L (-25),1,33:43,9.0,17.0,0.529,1.0,3.0,0.333,0.0,0.0,,0.0,3.0,3.0,5.0,1.0,0.0,3.0,3.0,19.0,11.9,-24.0,21.333,6.2,7.6,2.0,0.4,-2.333,-3.2,-2.6,-1.0,-0.4
Dejounte Murray,ATL,16,16.0,2022-11-19,26-061,ATL,,TOR,W (+2),1,40:21,7.0,18.0,0.389,1.0,6.0,0.167,2.0,2.0,1.0,0.0,7.0,7.0,4.0,2.0,0.0,2.0,0.0,17.0,12.1,13.0,21.062,6.25,7.375,2.0,0.375,-4.062,0.75,-3.375,0.0,-0.375
Dejounte Murray,ATL,17,17.0,2022-11-21,26-063,ATL,@,CLE,L (-12),1,37:19,4.0,17.0,0.235,1.0,4.0,0.25,2.0,2.0,1.0,1.0,3.0,4.0,6.0,1.0,0.0,4.0,1.0,11.0,3.1,-6.0,20.471,6.118,7.294,1.941,0.353,-9.471,-2.118,-1.294,-0.941,-0.353
Dejounte Murray,ATL,18,18.0,2022-11-23,26-065,ATL,,SAC,W (+9),1,34:59,5.0,16.0,0.313,1.0,4.0,0.25,4.0,4.0,1.0,1.0,6.0,7.0,4.0,3.0,0.0,2.0,2.0,15.0,11.3,7.0,20.167,6.167,7.111,2.0,0.333,-5.167,0.833,-3.111,1.0,-0.333
Dejounte Murray,ATL,19,19.0,2022-11-25,26-067,ATL,@,HOU,L (-6),1,35:39,14.0,24.0,0.583,8.0,13.0,0.615,3.0,3.0,1.0,0.0,3.0,3.0,3.0,2.0,0.0,3.0,2.0,39.0,29.0,-6.0,21.158,6.0,6.895,2.0,0.316,17.842,-3.0,-3.895,0.0,-0.316
Dejounte Murray,ATL,20,20.0,2022-11-27,26-069,ATL,,MIA,L (-8),1,38:49,5.0,16.0,0.313,2.0,8.0,0.25,1.0,2.0,0.5,0.0,5.0,5.0,2.0,1.0,0.0,2.0,0.0,13.0,5.3,-13.0,20.75,5.95,6.65,1.95,0.3,-7.75,-0.95,-4.65,-0.95,-0.3
Dejounte Murray,ATL,21,21.0,2022-11-28,26-070,ATL,@,PHI,L (-3),1,40:29,6.0,13.0,0.462,3.0,6.0,0.5,2.0,2.0,1.0,1.0,4.0,5.0,6.0,1.0,1.0,7.0,3.0,17.0,9.9,-2.0,20.571,5.905,6.619,1.905,0.333,-3.571,-0.905,-0.619,-0.905,0.667
Dejounte Murray,ATL,22,22.0,2022-11-30,26-072,ATL,@,ORL,W (+17),1,38:59,11.0,23.0,0.478,3.0,8.0,0.375,2.0,3.0,0.667,0.0,3.0,3.0,6.0,2.0,1.0,5.0,1.0,27.0,17.3,8.0,20.864,5.773,6.591,1.909,0.364,6.136,-2.773,-0.591,0.091,0.636
Dejounte Murray,ATL,23,23.0,2022-12-02,26-074,ATL,,DEN,W (+8),1,35:28,13.0,22.0,0.591,4.0,7.0,0.571,4.0,6.0,0.667,1.0,2.0,3.0,8.0,0.0,1.0,1.0,1.0,34.0,29.2,3.0,21.435,5.652,6.652,1.826,0.391,12.565,-2.652,1.348,-1.826,0.609
Dejounte Murray,ATL,24,24.0,2022-12-05,26-077,ATL,,OKC,L (-7),1,38:25,10.0,21.0,0.476,3.0,5.0,0.6,1.0,3.0,0.333,3.0,3.0,6.0,3.0,2.0,2.0,3.0,4.0,24.0,16.4,-2.0,21.542,5.667,6.5,1.833,0.458,2.458,0.333,-3.5,0.167,1.542
Dejounte Murray,ATL,25,25.0,2022-12-07,26-079,ATL,@,NYK,L (-24),1,3:34,0.0,0.0,,0.0,0.0,,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,-4.0,20.76,5.44,6.24,1.76,0.44,-18.76,-5.44,-6.24,-1.76,-0.44
Dejounte Murray,ATL,26,,2022-12-09,26-081,ATL,@,BRK,L (-4),Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dejounte Murray,ATL,27,,2022-12-11,26-083,ATL,,CHI,W (+1),Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dejounte Murray,ATL,28,,2022-12-12,26-084,ATL,@,MEM,L (-25),Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dejounte Murray,ATL,29,,2022-12-14,26-086,ATL,@,ORL,L (-11),Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dejounte Murray,ATL,30,,2022-12-16,26-088,ATL,@,CHO,W (+19),Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dejounte Murray,ATL,31,26.0,2022-12-19,26-091,ATL,,ORL,W (+1),1,37:34,7.0,18.0,0.389,1.0,7.0,0.143,2.0,2.0,1.0,1.0,4.0,5.0,3.0,2.0,0.0,3.0,4.0,17.0,8.6,-2.0,17.29,4.548,5.129,1.484,0.355,-0.29,0.452,-2.129,0.516,-0.355
Dejounte Murray,ATL,32,27.0,2022-12-21,26-093,ATL,,CHI,L (-2),1,39:59,7.0,17.0,0.412,0.0,3.0,0.0,1.0,1.0,1.0,0.0,5.0,5.0,10.0,0.0,0.0,5.0,2.0,15.0,8.6,-2.0,17.219,4.562,5.281,1.438,0.344,-2.219,0.438,4.719,-1.438,-0.344
Dejounte Murray,ATL,33,28.0,2022-12-23,26-095,ATL,,DET,W (+25),1,36:35,10.0,18.0,0.556,3.0,8.0,0.375,3.0,4.0,0.75,0.0,3.0,3.0,5.0,4.0,0.0,1.0,2.0,26.0,23.6,19.0,17.485,4.515,5.273,1.515,0.333,8.515,-1.515,-0.273,2.485,-0.333
Dejounte Murray,ATL,34,29.0,2022-12-27,26-099,ATL,@,IND,L (-15),1,34:44,4.0,12.0,0.333,1.0,3.0,0.333,5.0,6.0,0.833,0.0,2.0,2.0,3.0,1.0,0.0,1.0,1.0,14.0,9.1,-20.0,17.382,4.441,5.206,1.5,0.324,-3.382,-2.441,-2.206,-0.5,-0.324
Dejounte Murray,ATL,35,30.0,2022-12-28,26-100,ATL,,BRK,L (-1),1,39:50,10.0,26.0,0.385,1.0,4.0,0.25,3.0,4.0,0.75,1.0,8.0,9.0,8.0,1.0,0.0,0.0,0.0,24.0,19.1,-1.0,17.571,4.571,5.286,1.486,0.314,6.429,4.429,2.714,-0.486,-0.314
Dejounte Murray,ATL,36,31.0,2022-12-30,26-102,ATL,,LAL,L (-9),1,39:08,8.0,17.0,0.471,3.0,7.0,0.429,1.0,1.0,1.0,1.0,6.0,7.0,9.0,1.0,0.0,2.0,0.0,20.0,19.1,-8.0,17.639,4.639,5.389,1.472,0.306,2.361,2.361,3.611,-0.472,-0.306
Dejounte Murray,ATL,37,32.0,2023-01-02,26-105,ATL,@,GSW,L (-2),1,50:42,10.0,20.0,0.5,1.0,4.0,0.25,4.0,4.0,1.0,1.0,9.0,10.0,7.0,2.0,1.0,3.0,1.0,25.0,22.6,0.0,17.838,4.784,5.432,1.486,0.324,7.162,5.216,1.568,0.514,0.676
Dejounte Murray,ATL,38,33.0,2023-01-04,26-107,ATL,@,SAC,W (+3),1,34:46,8.0,17.0,0.471,1.0,4.0,0.25,4.0,4.0,1.0,1.0,5.0,6.0,4.0,3.0,0.0,2.0,1.0,21.0,17.9,0.0,17.921,4.816,5.395,1.526,0.316,3.079,1.184,-1.395,1.474,-0.316
Dejounte Murray,ATL,39,34.0,2023-01-06,26-109,ATL,@,LAL,L (-16),1,35:02,7.0,18.0,0.389,2.0,4.0,0.5,0.0,1.0,0.0,1.0,0.0,1.0,6.0,1.0,0.0,1.0,0.0,16.0,10.7,-11.0,17.872,4.718,5.41,1.513,0.308,-1.872,-3.718,0.59,-0.513,-0.308
Dejounte Murray,ATL,40,35.0,2023-01-08,26-111,ATL,@,LAC,W (+4),1,37:23,8.0,18.0,0.444,0.0,3.0,0.0,0.0,0.0,,1.0,4.0,5.0,4.0,1.0,0.0,2.0,0.0,16.0,10.3,0.0,17.825,4.725,5.375,1.5,0.3,-1.825,0.275,-1.375,-0.5,-0.3
Dejounte Murray,ATL,41,36.0,2023-01-11,26-114,ATL,,MIL,L (-9),1,37:53,4.0,16.0,0.25,1.0,5.0,0.2,0.0,0.0,,0.0,4.0,4.0,5.0,2.0,0.0,3.0,0.0,9.0,3.1,-14.0,17.61,4.707,5.366,1.512,0.293,-8.61,-0.707,-0.366,0.488,-0.293
Dejounte Murray,ATL,42,37.0,2023-01-13,26-116,ATL,@,IND,W (+2),1,36:02,7.0,18.0,0.389,2.0,4.0,0.5,2.0,2.0,1.0,1.0,7.0,8.0,6.0,1.0,0.0,1.0,1.0,18.0,14.8,7.0,17.619,4.786,5.381,1.5,0.286,0.381,3.214,0.619,-0.5,-0.286
Dejounte Murray,ATL,43,38.0,2023-01-14,26-117,ATL,@,TOR,W (+11),1,38:35,10.0,17.0,0.588,2.0,5.0,0.4,5.0,6.0,0.833,0.0,8.0,8.0,6.0,2.0,0.0,4.0,2.0,27.0,22.5,13.0,17.837,4.86,5.395,1.512,0.279,9.163,3.14,0.605,0.488,-0.279
Dejounte Murray,ATL,44,39.0,2023-01-16,26-119,ATL,,MIA,W (+8),1,35:11,11.0,17.0,0.647,5.0,8.0,0.625,1.0,2.0,0.5,0.0,4.0,4.0,7.0,2.0,1.0,2.0,0.0,28.0,26.9,4.0,18.068,4.841,5.432,1.523,0.295,9.932,-0.841,1.568,0.477,0.705
Dejounte Murray,ATL,45,40.0,2023-01-18,26-121,ATL,@,DAL,W (+8),1,37:37,12.0,18.0,0.667,4.0,6.0,0.667,2.0,2.0,1.0,1.0,6.0,7.0,4.0,1.0,0.0,1.0,4.0,30.0,25.9,7.0,18.333,4.889,5.4,1.511,0.289,11.667,2.111,-1.4,-0.511,-0.289
Dejounte Murray,ATL,46,41.0,2023-01-20,26-123,ATL,,NYK,W (+15),1,36:28,14.0,25.0,0.56,1.0,4.0,0.25,0.0,0.0,,2.0,4.0,6.0,12.0,3.0,0.0,1.0,1.0,29.0,29.7,9.0,18.565,4.913,5.543,1.543,0.283,10.435,1.087,6.457,1.457,-0.283
Dejounte Murray,ATL,47,42.0,2023-01-21,26-124,ATL,,CHO,L (-4),1,37:24,11.0,20.0,0.55,4.0,6.0,0.667,0.0,0.0,,0.0,3.0,3.0,3.0,1.0,0.0,3.0,0.0,26.0,17.4,-10.0,18.723,4.872,5.489,1.532,0.277,7.277,-1.872,-2.489,-0.532,-0.277
Dejounte Murray,ATL,48,43.0,2023-01-23,26-126,ATL,@,CHI,L (-11),1,36:29,9.0,19.0,0.474,2.0,7.0,0.286,0.0,0.0,,0.0,7.0,7.0,4.0,0.0,0.0,2.0,1.0,20.0,12.8,-21.0,18.75,4.917,5.458,1.5,0.271,1.25,2.083,-1.458,-1.5,-0.271
Dejounte Murray,ATL,49,44.0,2023-01-25,26-128,ATL,@,OKC,W (+5),1,38:25,9.0,19.0,0.474,1.0,8.0,0.125,2.0,2.0,1.0,0.0,2.0,2.0,3.0,0.0,1.0,4.0,3.0,21.0,9.5,-1.0,18.796,4.857,5.408,1.469,0.286,2.204,-2.857,-2.408,-1.469,0.714
Dejounte Murray,ATL,50,45.0,2023-01-28,26-131,ATL,,LAC,L (-7),1,38:45,7.0,17.0,0.412,1.0,5.0,0.2,0.0,0.0,,1.0,5.0,6.0,8.0,2.0,1.0,1.0,1.0,15.0,15.0,-11.0,18.72,4.88,5.46,1.48,0.3,-3.72,1.12,2.54,0.52,0.7
Dejounte Murray,ATL,51,46.0,2023-01-30,26-133,ATL,@,POR,L (-4),1,38:12,13.0,25.0,0.52,5.0,8.0,0.625,9.0,9.0,1.0,3.0,5.0,8.0,7.0,2.0,0.0,0.0,1.0,40.0,37.8,-4.0,19.137,4.941,5.49,1.49,0.294,20.863,3.059,1.51,0.51,-0.294
Dejounte Murray,ATL,52,47.0,2023-02-01,26-135,ATL,@,PHO,W (+32),1,29:38,8.0,13.0,0.615,4.0,7.0,0.571,1.0,3.0,0.333,0.0,6.0,6.0,8.0,0.0,0.0,1.0,3.0,21.0,19.5,40.0,19.173,4.962,5.538,1.462,0.288,1.827,1.038,2.462,-1.462,-0.288
Dejounte Murray,ATL,53,48.0,2023-02-03,26-137,ATL,@,UTA,W (+7),1,36:58,5.0,16.0,0.313,1.0,6.0,0.167,2.0,2.0,1.0,1.0,4.0,5.0,8.0,3.0,0.0,2.0,1.0,13.0,11.9,3.0,19.057,4.962,5.585,1.491,0.283,-6.057,0.038,2.415,1.509,-0.283
Dejounte Murray,ATL,54,49.0,2023-02-04,26-138,ATL,@,DEN,L (-20),1,35:32,10.0,21.0,0.476,3.0,8.0,0.375,5.0,7.0,0.714,1.0,3.0,4.0,10.0,1.0,2.0,3.0,0.0,28.0,24.5,-15.0,19.222,4.944,5.667,1.481,0.315,8.778,-0.944,4.333,-0.481,1.685
Dejounte Murray,ATL,55,50.0,2023-02-07,26-141,ATL,@,NOP,L (-9),1,39:56,8.0,17.0,0.471,3.0,8.0,0.375,0.0,0.0,,0.0,5.0,5.0,7.0,1.0,0.0,3.0,2.0,19.0,13.9,-9.0,19.218,4.945,5.691,1.473,0.309,-0.218,0.055,1.309,-0.473,-0.309
Dejounte Murray,ATL,56,51.0,2023-02-09,26-143,ATL,,PHO,W (+9),1,37:24,8.0,14.0,0.571,2.0,4.0,0.5,1.0,2.0,0.5,1.0,7.0,8.0,5.0,0.0,1.0,4.0,2.0,19.0,14.2,2.0,19.214,5.0,5.679,1.446,0.321,-0.214,3.0,-0.679,-1.446,0.679
Dejounte Murray,ATL,57,52.0,2023-02-11,26-145,ATL,,SAS,W (+19),1,33:06,8.0,18.0,0.444,2.0,5.0,0.4,0.0,0.0,,1.0,6.0,7.0,3.0,1.0,0.0,1.0,1.0,18.0,12.8,12.0,19.193,5.035,5.632,1.439,0.316,-1.193,1.965,-2.632,-0.439,-0.316
Dejounte Murray,ATL,58,53.0,2023-02-13,26-147,ATL,@,CHO,L (-6),1,39:43,8.0,14.0,0.571,1.0,3.0,0.333,3.0,3.0,1.0,0.0,5.0,5.0,4.0,1.0,0.0,0.0,1.0,20.0,18.3,-1.0,19.207,5.034,5.603,1.431,0.31,0.793,-0.034,-1.603,-0.431,-0.31
Dejounte Murray,ATL,59,54.0,2023-02-15,26-149,ATL,,NYK,L (-21),1,33:43,3.0,12.0,0.25,0.0,4.0,0.0,0.0,0.0,,0.0,5.0,5.0,3.0,0.0,0.0,1.0,2.0,6.0,0.6,-20.0,18.983,5.034,5.559,1.407,0.305,-12.983,-0.034,-2.559,-1.407,-0.305
Dejounte Murray,ATL,60,55.0,2023-02-24,26-158,ATL,,CLE,W (+17),1,34:35,11.0,19.0,0.579,2.0,6.0,0.333,1.0,1.0,1.0,1.0,8.0,9.0,8.0,1.0,0.0,3.0,1.0,25.0,22.4,18.0,19.083,5.1,5.6,1.4,0.3,5.917,3.9,2.4,-0.4,-0.3
Dejounte Murray,ATL,61,56.0,2023-02-26,26-160,ATL,,BRK,W (+2),1,32:40,12.0,21.0,0.571,4.0,7.0,0.571,0.0,0.0,,1.0,2.0,3.0,4.0,1.0,0.0,2.0,0.0,28.0,21.2,-6.0,19.23,5.066,5.574,1.393,0.295,8.77,-2.066,-1.574,-0.393,-0.295
Dejounte Murray,ATL,62,57.0,2023-02-28,26-162,ATL,,WAS,L (-3),1,35:02,7.0,18.0,0.389,1.0,6.0,0.167,0.0,0.0,,1.0,1.0,2.0,5.0,0.0,0.0,1.0,1.0,15.0,8.3,3.0,19.161,5.016,5.565,1.371,0.29,-4.161,-3.016,-0.565,-1.371,-0.29
Dejounte Murray,ATL,63,58.0,2023-03-03,26-165,ATL,,POR,W (+18),1,33:36,17.0,22.0,0.773,5.0,5.0,1.0,2.0,2.0,1.0,0.0,5.0,5.0,6.0,1.0,0.0,4.0,1.0,41.0,34.7,11.0,19.508,5.016,5.571,1.365,0.286,21.492,-0.016,0.429,-0.365,-0.286
Dejounte Murray,ATL,64,59.0,2023-03-04,26-166,ATL,@,MIA,L (-8),1,36:02,3.0,14.0,0.214,0.0,5.0,0.0,4.0,5.0,0.8,1.0,4.0,5.0,3.0,2.0,0.0,2.0,1.0,10.0,4.6,-17.0,19.359,5.016,5.531,1.375,0.281,-9.359,-0.016,-2.531,0.625,-0.281
Dejounte Murray,ATL,65,60.0,2023-03-06,26-168,ATL,@,MIA,L (-2),1,37:15,10.0,19.0,0.526,1.0,6.0,0.167,2.0,2.0,1.0,0.0,4.0,4.0,8.0,2.0,0.0,0.0,2.0,23.0,21.7,1.0,19.415,5.0,5.569,1.385,0.277,3.585,-1.0,2.431,0.615,-0.277
Dejounte Murray,ATL,66,61.0,2023-03-08,26-170,ATL,@,WAS,W (+2),1,38:48,5.0,16.0,0.313,1.0,5.0,0.2,6.0,6.0,1.0,1.0,3.0,4.0,6.0,3.0,0.0,1.0,2.0,17.0,14.8,1.0,19.379,4.985,5.576,1.409,0.273,-2.379,-0.985,0.424,1.591,-0.273
Dejounte Murray,ATL,67,62.0,2023-03-10,26-172,ATL,@,WAS,W (+7),1,35:34,6.0,16.0,0.375,1.0,3.0,0.333,3.0,4.0,0.75,3.0,4.0,7.0,7.0,1.0,0.0,1.0,0.0,16.0,15.0,-1.0,19.328,5.015,5.597,1.403,0.269,-3.328,1.985,1.403,-0.403,-0.269
Dejounte Murray,ATL,68,63.0,2023-03-11,26-173,ATL,,BOS,L (-9),1,39:06,7.0,18.0,0.389,0.0,3.0,0.0,0.0,0.0,,0.0,4.0,4.0,4.0,3.0,0.0,4.0,0.0,14.0,7.2,-13.0,19.25,5.0,5.574,1.426,0.265,-5.25,-1.0,-1.574,1.574,-0.265
Dejounte Murray,ATL,69,64.0,2023-03-13,26-175,ATL,,MIN,L (-21),1,32:41,5.0,15.0,0.333,1.0,2.0,0.5,0.0,2.0,0.0,0.0,5.0,5.0,2.0,2.0,0.0,5.0,3.0,11.0,0.4,-29.0,19.13,5.0,5.522,1.435,0.261,-8.13,0.0,-3.522,0.565,-0.261
Dejounte Murray,ATL,70,65.0,2023-03-17,26-179,ATL,,GSW,W (+8),1,36:30,4.0,14.0,0.286,0.0,4.0,0.0,2.0,4.0,0.5,1.0,6.0,7.0,9.0,1.0,0.0,1.0,2.0,10.0,9.0,-6.0,19.0,5.029,5.571,1.429,0.257,-9.0,1.971,3.429,-0.429,-0.257
Dejounte Murray,ATL,71,66.0,2023-03-19,26-181,ATL,@,SAS,L (-8),1,39:12,10.0,25.0,0.4,0.0,3.0,0.0,2.0,2.0,1.0,1.0,5.0,6.0,8.0,1.0,0.0,0.0,4.0,22.0,15.7,-13.0,19.042,5.042,5.606,1.423,0.254,2.958,0.958,2.394,-0.423,-0.254
Dejounte Murray,ATL,72,,2023-03-21,26-183,ATL,,DET,W (+22),Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dejounte Murray,ATL,73,,2023-03-22,26-184,ATL,@,MIN,L (-1),Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dejounte Murray,ATL,74,67.0,2023-03-25,26-187,ATL,,IND,W (+13),1,33:35,8.0,20.0,0.4,0.0,2.0,0.0,4.0,4.0,1.0,0.0,2.0,2.0,12.0,2.0,1.0,1.0,1.0,20.0,19.5,8.0,18.541,4.865,5.541,1.392,0.257,1.459,-2.865,6.459,0.608,0.743
Dejounte Murray,ATL,75,68.0,2023-03-26,26-188,ATL,,MEM,L (-4),1,37:52,3.0,11.0,0.273,1.0,5.0,0.2,6.0,8.0,0.75,0.0,2.0,2.0,9.0,0.0,0.0,2.0,0.0,13.0,10.6,2.0,18.467,4.827,5.587,1.373,0.253,-5.467,-2.827,3.413,-1.373,-0.253
Dejounte Murray,ATL,76,69.0,2023-03-28,26-190,ATL,,CLE,W (+2),1,35:14,11.0,22.0,0.5,3.0,7.0,0.429,4.0,5.0,0.8,1.0,3.0,4.0,5.0,2.0,0.0,0.0,0.0,29.0,24.7,-5.0,18.605,4.816,5.579,1.382,0.25,10.395,-0.816,-0.579,0.618,-0.25
Dejounte Murray,ATL,77,70.0,2023-03-31,26-193,ATL,@,BRK,L (-17),1,36:27,9.0,15.0,0.6,1.0,3.0,0.333,2.0,3.0,0.667,2.0,3.0,5.0,5.0,2.0,0.0,1.0,2.0,21.0,19.7,-18.0,18.636,4.818,5.571,1.39,0.247,2.364,0.182,-0.571,0.61,-0.247
Dejounte Murray,ATL,78,71.0,2023-04-02,26-195,ATL,,DAL,W (+2),1,41:29,11.0,21.0,0.524,1.0,4.0,0.25,2.0,2.0,1.0,1.0,6.0,7.0,4.0,1.0,0.0,4.0,4.0,25.0,15.4,2.0,18.718,4.846,5.551,1.385,0.244,6.282,2.154,-1.551,-0.385,-0.244
Dejounte Murray,ATL,79,72.0,2023-04-04,26-197,ATL,@,CHI,W (+18),1,34:43,7.0,13.0,0.538,0.0,3.0,0.0,3.0,3.0,1.0,1.0,2.0,3.0,9.0,1.0,0.0,1.0,1.0,17.0,17.9,21.0,18.696,4.823,5.595,1.38,0.241,-1.696,-1.823,3.405,-0.38,-0.241
Dejounte Murray,ATL,80,73.0,2023-04-05,26-198,ATL,,WAS,W (+18),1,30:15,8.0,13.0,0.615,1.0,3.0,0.333,2.0,2.0,1.0,0.0,7.0,7.0,2.0,2.0,0.0,4.0,0.0,19.0,14.6,19.0,18.7,4.85,5.55,1.388,0.238,0.3,2.15,-3.55,0.612,-0.238
Dejounte Murray,ATL,81,74.0,2023-04-07,26-200,ATL,,PHI,L (-5),1,40:21,9.0,16.0,0.563,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,2.0,2.0,19.0,12.7,-23.0,18.704,4.802,5.531,1.383,0.235,0.296,-3.802,-1.531,-0.383,-0.235
Dejounte Murray,ATL,82,,2023-04-09,26-202,ATL,@,BOS,L (-6),Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trae Young,ATL,1,1.0,2022-10-19,24-030,ATL,,HOU,W (+10),1,37:54,7.0,22.0,0.318,1.0,9.0,0.111,8.0,8.0,1.0,0.0,3.0,3.0,13.0,1.0,1.0,3.0,1.0,23.0,18.7,16.0,23.0,3.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Trae Young,ATL,2,2.0,2022-10-21,24-032,ATL,,ORL,W (+10),1,37:22,7.0,24.0,0.292,4.0,11.0,0.364,7.0,7.0,1.0,2.0,2.0,4.0,13.0,0.0,0.0,6.0,3.0,25.0,14.9,5.0,24.0,3.5,13.0,0.5,0.5,1.0,0.5,0.0,-0.5,-0.5
